"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"var_capital";"var_acoes";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"1";"AC";"Agência de Negócios do Estado do Acre";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";41232323,96;-9049391,38;"SIM";"SIM";"NÃO";329849;"Não";47;0;5601459,71;0;0;0;5563422,39;2247519,62;3794518,84;"Site não disponível";"DEPENDENTE";9357941,22999999;0;"Acre";"Norte";FALSE;FALSE;-5563422,39
"2";"AC";"Administradora da Zona de Processamento de Exportação do Acre";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;0
"3";"AC";"Banco do Estado do Acre";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-196827352,06;-2582761,78;"SIM";"SIM";"NÃO";109410,01;"Não";12;0;1700206,74;0;1780362,81;1813690,95;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-1780362,81
"4";"AC";"Companhia de Armazéns e Entrepostos do Acre";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";8219090,99;678045,71;"SIM";"SIM";"NÃO";314098,74;"Não";155;5560;11319407,79;0;12683055,27;19543507,28;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-12683055,27
"5";"AC";"Companhia Industrial de Laticínios do Acre";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";0;0;"SIM";"SIM";"NÃO";177989,82;"Não";26;0;1509614,66;0;2177805,43;217780543;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-2177805,43
"6";"AC";"Companhia de Desenvolvimento Industrial do Acre";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";0;0;"SIM";"SIM";"NÃO";192198,26;"Não";50;0;3751670,76;0;4619185,93;4473123,83;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-4619185,93
"7";"AC";"Companhia de Colonização do Acre";"EM LIQUIDAÇÃO";"OUTROS";"EMPRESA PÚBLICA";"Dependente";5822221;14432,11;"SIM";"SIM";"NÃO";2850;"Não";17;0;9277,75;0;1397964,12;1415412,28;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-1397964,12
"8";"AC";"Companhia de Saneamento do Acre";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";19922996,47;580880,03;"SIM";"SIM";"NÃO";333859,34;"Não";168;0;22413904,38;0;3364776,23;3135294,83;0;0;0;"https://saneacre.ac.gov.br/relatorios-anuais-de-gestao/";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-3364776,23
"9";"AC";"Companhia de Habitação do Acre";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";79307669,34;3953141,14;"SIM";"SIM";"NÃO";270124,92;"Não";61;293569;8151816,88;0;6625065,41;6949505,22;0;0;0;"Site não disponível";"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-6625065,41
"10";"AC";"Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";3003232750,57;4922,18;"SIM";"SIM";"NÃO";212535,83;"Não";13;0;5040297,7;0;931581,94;575974,35;2847100;1650000;3397100;"https://cdsabusiness.com.br/";"DEPENDENTE";6794200;3397100;"Acre";"Norte";FALSE;FALSE;-3778681,94
