"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"var_capital";"var_acoes";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"AC";"Companhia Industrial de Laticínios do Acre  CILA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";-88773662,59;142443,37;"SIM";"SIM";"NÃO";2183003,74;"Não";29;1686,87;2497093,78;0;2820871,21;2317412,32;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-2820871,21
"AC";"Companhia de Armazéns e Entrepostos do Acre  CAGEACRE";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"EMPRESA PÚBLICA";"Dependente";7447035,22;678045,71;"NÃO";"SIM";"NÃO";215350,25;"Não";155;0;13419884,01;0;14729465,32;19543507,28;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-14729465,32
"AC";"Administradora da Zona de Processamento de Exportação do Acre  AZPEAC";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;0
"AC";"Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre  CDSA";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";3005608118,66;-24631,91;"SIM";"SIM";"NÃO";233705,73;"Não";13;0;1483226,97;0;1521026,97;957768,34;2400000;2447100;997100;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-3921026,97
"AC";"Companhia de Colonização do Acre  COLONACRE";"EM LIQUIDAÇÃO";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";5690130,83;46963,39;"NÃO";"SIM";"NÃO";1040941,44;"Não";17;0;1658046,44;0;1705223,56;1397964,12;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-1705223,56
"AC";"Companhia de Desenvolvimento Industrial do Acre  CODISACRE";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";6665321,59;693377,74;"SIM";"SIM";"NÃO";198405,6;"Não";37;244185,81;3944525,12;0;5010920,96;4779201,42;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-5010920,96
"AC";"Banco do Estado do Acre  BANACRE";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-199341952,72;-2514600,66;"SIM";"SIM";"NÃO";109184,47;"Não";12;2348,39;1444341,25;0;1774048,96;1780362,81;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-1774048,96
"AC";"Companhia de Habitação do Acre  COHABACRE";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";79307669,34;3953141,14;"SIM";"SIM";"NÃO";270124,92;"Não";63;0;6325167,21;0;8771679,88;6949505,22;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-8771679,88
"AC";"Empresa de Processamento de Dados do Acre  ACREDATA";"ATIVA";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"EMPRESA PÚBLICA";"Dependente";103720301,25;11811971,51;"SIM";"SIM";"NÃO";0;"Sim";84;0;6325167,21;0;13107416,33;11684206,5;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-13107416,33
"AC";"Agencia de Negócios do Estado do Acre  ANAC";"ATIVA";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";39712876,01;-10051185,58;"SIM";"SIM";"NÃO";407932,32;"Não";12;0;7155806,19;0;0;0;8531737,63;5563422,39;9762781,21;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-8531737,63
"AC";"Empresa de Assistência Técnica e Extensão Rural do Acre  EMATER";"ATIVA";"PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA";"EMPRESA PÚBLICA";"Dependente";-8249,79;167735,68;"SIM";"SIM";"NÃO";349852,72;"Não";152;0;18707804,19;0;23737120,78;21676919,11;2149510,24;2052870,8;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-25886631,02
"AC";"Companhia de Saneamento do Acre  SANACRE";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";19805480,95;91692,53;"SIM";"SIM";"NÃO";0;"Não";189;0;22880993,43;0;3547857,37;3364776,23;0;0;0;NA;"DEPENDENTE";0;0;"Acre";"Norte";FALSE;FALSE;-3547857,37
"AL";"Companhia de Edição Impressão e Publicação de Alagoas";"ATIVA";"COMUNICAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";217370,56;-5899240,4;"SIM";"SIM";"NÃO";298779,51;"Não";119;0;12885085,75;0;0;0;0;0;0;"https://www,imprensaoficial,al,gov,br/storage/files/2025/04/Carta_Anual_de_Políticas_Públicas_CEPAL_Aprovada_Conselho_2024,pdf";"NÃO DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;0
"AL";"Agência de Fomento de Alagoas  Desenvolve";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";45079000;-7444000;"SIM";"SIM";"NÃO";119587;"Não";57;0;651000;0;0;0;0;0;0;NA;"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;0
"AL";"Banco do Estado de Alagoas SA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";120732790,76;-20349597,22;"NÃO";"SIM";"NÃO";325324,89;"Não";3;0;554179,85;0;1e+05;1e+05;1,6e+07;0;0;NA;"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-16100000
"AL";"Alagoas Ativos SA";"ATIVA";"GESTÃO DE ATIVOS";"EMPRESA PÚBLICA";"Não Dependente";1354881,68;646243,59;"SIM";"SIM";"NÃO";405711,63;"Não";19;0;2192507,72;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;0
"AL";"Gás de Alagoas SA";"ATIVA";"GÁS E DERIVADOS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";140652177,31;40882909,78;"SIM";"SIM";"SIM";398267,27;"Não";161;34430657,7;25539770,41;10638724,09;0;0;0;0;0;"https://governanca,algas,com,br/carta-anual-de-politicas-publicas-e-governanca-corporativa";"NÃO DEPENDENTE";0;0;"Alagoas";"Nordeste";TRUE;FALSE;10638724,09
"AL";"Companhia Alagoana de Recursos Humanos e Patrimoniais";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";19491992,39;-22558097,95;"NÃO";"SIM";"NÃO";218125,31;"Não";1;323632,27;16778,87;0;2734521,95;5776972,86;0;0;0;NA;"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-2734521,95
"AL";"Serviços de Engenharia de Alagoas SA";"EM LIQUIDAÇÃO";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-1653049,78;0;"NÃO";"SIM";"NÃO";539804,72;"Não";5;0;41523,44;0;387314,54;1018063,95;0;0;0;NA;"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-387314,54
"AL";"Companhia de Saneamento de Alagoas";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";6571826958;76660074;"SIM";"SIM";"SIM";475077,99;"Não";856;11453707,22;109360615;0;0;0;51271902,34;44880272,47;231811627,53;"https://www,casal,al,gov,br/arquivos/carta-anual-de-politicas-publicas-e-governanca-corporativa-2024/";"NÃO DEPENDENTE";0;0;"Alagoas";"Nordeste";TRUE;FALSE;-51271902,34
"AL";"Laboratório Industrial Farmacêutico";"EM LIQUIDAÇÃO";"SAÚDE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-50970,82;86544,66;"NÃO";"SIM";"NÃO";62321,22;"Não";0;0;4793,94;0;430375,27;354932,54;0;0;0;NA;"DEPENDENTE";0;0;"Alagoas";"Nordeste";FALSE;FALSE;-430375,27
"AP";"AGÊNCIA DE FOMENTO POPULAR";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";16811613,52;-1045966,91;"SIM";"SIM";"NÃO";204363,69;"Não";99;0;4546633,36;0;0;0;0;0;39255740,08;NA;"NÃO DEPENDENTE";0;0;"Amapá";"Norte";FALSE;FALSE;0
