"Nome_estado","setor","emp","dep","sit","capital","desp_investimento","lucros","link","indicio_dependencia","tipo_indicio"
"Acre","ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS","Companhia Industrial de Laticínios do Acre  CILA","Dependente","ATIVA",0,1686.87,142443.37,NA,"DEPENDENTE",NA
"Acre","ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS","Companhia de Armazéns e Entrepostos do Acre  CAGEACRE","Dependente","ATIVA",0,0,678045.71,NA,"DEPENDENTE",NA
"Acre","DESENVOLVIMENTO REGIONAL","Administradora da Zona de Processamento de Exportação do Acre  AZPEAC","Dependente","ATIVA",0,0,0,NA,"DEPENDENTE",NA
"Acre","DESENVOLVIMENTO REGIONAL","Companhia Agência de Desenvolvimento e Serviços Ambientais do Estado do Acre  CDSA","Dependente","ATIVA",997100,0,-24631.91,NA,"DEPENDENTE",NA
"Acre","DESENVOLVIMENTO REGIONAL","Companhia de Colonização do Acre  COLONACRE","Dependente","EM LIQUIDAÇÃO",0,0,46963.39,NA,"DEPENDENTE",NA
"Acre","DESENVOLVIMENTO REGIONAL","Companhia de Desenvolvimento Industrial do Acre  CODISACRE","Dependente","ATIVA",0,244185.81,693377.74,NA,"DEPENDENTE",NA
"Acre","FINANCEIRO","Banco do Estado do Acre  BANACRE","Dependente","EM LIQUIDAÇÃO",0,2348.39,-2514600.66,NA,"DEPENDENTE",NA
"Acre","HABITAÇÃO E URBANIZAÇÃO","Companhia de Habitação do Acre  COHABACRE","Dependente","ATIVA",0,0,3953141.14,NA,"DEPENDENTE",NA
"Acre","INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO","Empresa de Processamento de Dados do Acre  ACREDATA","Dependente","ATIVA",0,0,11811971.51,NA,"DEPENDENTE",NA
"Acre","OUTROS","Agencia de Negócios do Estado do Acre  ANAC","Dependente","ATIVA",9762781.21,0,-10051185.58,NA,"DEPENDENTE",NA
"Acre","PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA","Empresa de Assistência Técnica e Extensão Rural do Acre  EMATER","Dependente","ATIVA",0,0,167735.68,NA,"DEPENDENTE",NA
"Acre","SANEAMENTO","Companhia de Saneamento do Acre  SANACRE","Dependente","ATIVA",0,0,91692.53,NA,"DEPENDENTE",NA
"Alagoas","COMUNICAÇÃO","Companhia de Edição Impressão e Publicação de Alagoas","Não Dependente","ATIVA",0,0,-5899240.4,"https://www,imprensaoficial,al,gov,br/storage/files/2025/04/Carta_Anual_de_Políticas_Públicas_CEPAL_Aprovada_Conselho_2024,pdf","NÃO DEPENDENTE",NA
"Alagoas","FINANCEIRO","Agência de Fomento de Alagoas  Desenvolve","Dependente","ATIVA",0,0,-7444000,NA,"DEPENDENTE",NA
"Alagoas","FINANCEIRO","Banco do Estado de Alagoas SA","Dependente","EM LIQUIDAÇÃO",0,0,-20349597.22,NA,"DEPENDENTE",NA
"Alagoas","GESTÃO DE ATIVOS","Alagoas Ativos SA","Não Dependente","ATIVA",0,0,646243.59,NA,"NÃO DEPENDENTE",NA
