"","setor","def","cores"
"1","ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS","Provimento de alimentos e/ou outros insumos.","#0D0887"
"2","COMUNICAÇÃO","Rádio e TV, imprensa oficial e gráficas.","#310597"
"3","DESENVOLVIMENTO REGIONAL","Promoção do desenvolvimento econômico regional.","#4C02A1"
"4","ENERGIA","Geração, transmissão, distribuição e comercialização de energia elétrica.","#6600A7"
"5","FINANCEIRO","Bancos, bancos de investimento, caixas econômicas e agências de fomento ao crédito.","#7E03A8"
"6","GÁS E DERIVADOS","Aquisição, armazenagem, transporte, envasilhamento, comercialização e distribuição de gás.","#9511A1"
"7","GESTÃO DE ATIVOS","Gestão de patrimônio, implementação de PPP, operação de obtenção de recursos em mercados de capitais, assessoramento em participações acionárias, securitização e recuperação de crédito.","#A92395"
"8","HABITAÇÃO E URBANIZAÇÃO","Planejamento arquitetônico, fiscalização de obras, estudos de engenharia e arquitetura, avaliações mobiliárias, construção civil em geral e habitação.","#BC3488"
"9","INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO","Atividades de processamento de dados e tecnologia da informação.","#CC4678"
"10","MINERAÇÃO","Pesquisa, exploração, extração e beneficiamento de minérios.","#DA596A"
"11","OUTROS","Caso a empresa não se enquadre em nenhum dos setores anteriores.","#E56B5D"
"12","PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA","Produção de estudos e pesquisas, promoção do desenvolvimento sustentável e apoio técnico a agricultores e organizações do meio rural.","#F07F4F"
"13","PORTOS E HIDROVIAS","Administração e gestão de portos, organização e viabilização do transporte aquaviário.","#F89441"
"14","SANEAMENTO","Tratamento de água e esgoto, drenagem urbana e águas pluviais.","#FDAB33"
"15","SAÚDE","Serviços laboratoriais e indústria farmacêutica.","#FDC328"
"16","TRANSPORTE","Serviço de transporte rodoviário, ferroviários e metroviário.","#F9DD25"
"17","TURISMO","Promoção do turismo regional.","#F0F921"
