"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"1";"PI";"AGUAS E ESGOTOS DO PIAUÍ SA";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-651271903,95;-104703542;"SIM";"SIM";"NÃO";65334,32;"Não";2388;1032012985;231622998;0;198060292,17;786512172;0;34408805;0;NA;"NÃO DEPENDENTE";"Piauí";"Nordeste";FALSE;FALSE;-198060292,17
"2";"AC";"Administradora da Zona de Processamento de Exportação do Acre  AZPEAC";"ATIVA";"DESENVOLVIMENTO REGIONAL";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";0;0;"SIM";"SIM";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"DEPENDENTE";"Acre";"Norte";FALSE;FALSE;0
"3";"BA";"BAHIA PESCA SA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-3362003;3377901;"SIM";"SIM";"NÃO";379709,85;"Não";110;865276;13857900;0;6890791,41;5400883;0;0;0;"https://www,ba,gov,br/bahiapesca/sites/site-bahiapesca/files/2024-12/Carta%20Anual%20exerc%C3%ADcio%202023,pdf";"DEPENDENTE";"Bahia";"Nordeste";FALSE;FALSE;-6890791,41
"4";"RO";"BANCO DO ESTADO DE RONDONIA SA";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Rondônia";"Norte";FALSE;FALSE;0
"5";"DF";"BRB Participacoes";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";0;0;"SIM";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Distrito Federal";"Centro-oeste";FALSE;FALSE;0
"6";"AC";"Banco do Estado do Acre  BANACRE";"EM LIQUIDAÇÃO";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-199341952,72;-2514600,66;"SIM";"SIM";"NÃO";109184,47;"Não";12;2348,39;1444341,25;0;1774048,96;1780362,81;0;0;0;NA;"DEPENDENTE";"Acre";"Norte";FALSE;FALSE;-1774048,96
"7";"PA";"CENTRAIS DE ABASTECIMENTO DO PARÁ SA";"ATIVA";"ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-17175189,01;-1214479,29;"SIM";"SIM";"SIM";7705774,29;"Não";80;0;7705774,29;0;19765292,32;20533029,77;0;0;0;NA;"DEPENDENTE";"Pará";"Norte";TRUE;FALSE;-19765292,32
"8";"BA";"COMPANHA DE DESENVOLVIMENTO E AÇÃO REGIONAL";"ATIVA";"DESENVOLVIMENTO REGIONAL";"EMPRESA PÚBLICA";"Dependente";-37037212,28;2270183,67;"SIM";"SIM";"NÃO";463700,92;"Não";375;0;43114341,42;0;62005725,58;51115066,74;0;0;12513332,2;"https://www,car,ba,gov,br/sites/default/files/2025-01/Carta%20Anual%202025,pdf";"DEPENDENTE";"Bahia";"Nordeste";FALSE;FALSE;-62005725,58
"9";"BA";"COMPANHIA BAIANA DE PESQUISA MINERAL";"ATIVA";"MINERAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-83137844,53;-10532825,51;"SIM";"SIM";"NÃO";463398,48;"Não";141;787226;53051335,29;0;8346554,7;6087023,91;0;0;0;"http://www,cbpm,ba,gov,br/transparencia/carta-anual-de-politicas-publicas-e-governanca-corporativa/";"DEPENDENTE";"Bahia";"Nordeste";FALSE;FALSE;-8346554,7
"10";"RO";"COMPANHIA DE DESENVOLVIMENTO URBANO E RURAL DE RONDONIA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Rondônia";"Norte";FALSE;FALSE;0
"11";"MG";"COMPANHIA DE HABITAÇÃO DO ESTADO DE MINAS GERAIS  COHAB MINAS";"ATIVA";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-345896366,66;-45750000;"SIM";"SIM";"NÃO";273888,04;"Não";174;0;42323554,59;0;0;0;57860465;16673866,23;69712750,65;"http://200,198,20,180/wp-content/uploads/2025/04/5-Carta-Anual-de-Politicas-Publicas-e-Governanca-Corporativa-2024-2025,pdf";"NÃO DEPENDENTE";"Minas Gerais";"Sudeste";FALSE;FALSE;-57860465
"12";"SC";"COMPANHIA DE HABITAÇÃO DO ESTADO DE SANTA CATARINA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-38539154;537560;"NÃO";"SIM";"NÃO";298507,48;"Não";21;0;4894706,21;0;3436174,71;5510738;0;0;0;NA;"DEPENDENTE";"Santa Catarina";"Sul";FALSE;FALSE;-3436174,71
"13";"RO";"COMPANHIA DE PROCESSAMENTO DE DADOS DO ESTADO DE RONDONIA";"EM LIQUIDAÇÃO";"INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Rondônia";"Norte";FALSE;FALSE;0
"14";"PI";"COMPANHIA DE TERMINAIS ALFANDEGADOS DO PIAUÍ  PORTO PIAUÍ";"ATIVA";"PORTOS E HIDROVIAS";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";0;0;"SIM";"SIM";"SIM";274778,16;"Não";49;1957965,72;1968350,08;0;0;4411871,4;0;0;3e+07;NA;"NÃO DEPENDENTE";"Piauí";"Nordeste";TRUE;FALSE;0
"15";"RJ";"COMPANHIA DE TRANSPORTES COLETIVOS DO ESTADO DO RIO DE JANEIRO CTCRJ EM LIQUIDAÇÃO";"EM LIQUIDAÇÃO";"TRANSPORTE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-5827145,69;10206,59;"NÃO";"NÃO";"NÃO";96000;"Não";5;0;363057,58;0;409967,21;479938,78;0;0;0;"texto";"DEPENDENTE";"Rio de Janeiro";"Sudeste";FALSE;FALSE;-409967,21
"16";"RO";"COMPANHIA DE ÁGUA E ESGOTO DE RONDÔNIA CAERD";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-1198977306,98;2082510,26;"SIM";"SIM";"SIM";471043,74;"Não";964;30383091,75;116869706,89;0;14962421,49;0;0;0;0;"https://transparencia,caerd-ro,com,br/carta-anual-de-politicas-publicas-e-governanca-corporativa";"NÃO DEPENDENTE";"Rondônia";"Norte";TRUE;FALSE;-14962421,49
"17";"RR";"COMPANHIA DE ÁGUAS E ESGOTOS DE RORAIMA CAER";"ATIVA";"SANEAMENTO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-450667611,54;225200633,16;"SIM";"SIM";"NÃO";484507,76;"Não";970;16169239;100478568,9;0;0;0;16853881,6;11735793,06;16853881,6;"caer,com,br/transparencia/";"NÃO DEPENDENTE";"Roraima";"Norte";FALSE;FALSE;-16853881,6
